date,municipio,confirmados_laboratorial,confirmados_clinico_epidemiologico,confirmados_teste_rapido,total_confirmados,aguardando_validacao_dos_municipios,porcentagem,populacao,coef_incidencia_100k_hab,qtd_dias_ultimo_caso
2020-08-06,CRISTOPOLIS,20,1,33,54,2,0.03,13910,388.21,0
2020-08-06,OLIVEIRA DOS BREJINHOS,17,0,33,50,0,0.03,21825,229.10,0
2020-08-06,MANSIDAO,3,0,46,49,1,0.03,13643,359.16,0
2020-08-06,BAIANOPOLIS,6,0,41,47,4,0.03,13877,338.69,0
2020-08-06,COCOS,22,0,20,42,1,0.02,18777,223.68,1
2020-08-06,FORMOSA DO RIO PRETO,14,0,23,37,2,0.02,25591,144.58,0
2020-08-06,ANGICAL,13,2,18,33,3,0.02,13977,236.10,0
2020-08-06,MORPARA,11,0,20,31,0,0.02,8519,363.89,1
2020-08-06,PARATINGA,5,0,21,26,0,0.01,32000,81.25,4
2020-08-06,JABORANDI,7,0,18,25,0,0.01,8385,298.15,0
2020-08-06,FEIRA DA MATA,18,1,0,19,0,0.01,5665,335.39,1
2020-08-06,COTEGIPE,6,0,10,16,0,0.01,13782,116.09,5
2020-08-06,WANDERLEY,11,0,4,15,8,0.01,12238,122.57,0
2020-08-06,CATOLANDIA,8,0,3,11,0,0.01,3577,307.52,0
2020-08-06,SERRA DO RAMALHO,7,0,1,8,0,0.00,31472,25.42,30
2020-08-06,SERRA DOURADA,4,0,3,7,0,0.00,17386,40.26,0
2020-08-06,TABOCAS DO BREJO VELHO,0,0,5,5,0,0.00,12518,39.94,40
2020-08-06,SANTANA,2,0,0,2,0,0.00,26614,7.51,23
2020-08-06,SITIO DO MATO,0,0,1,1,0,0.00,13012,7.69,1
2020-08-06,TOTAL,2163,20,2757,4940,145,3
2020-08-06,VITORIA DA CONQUISTA,1074,6,1805,2885,20,1.60,338480,852.34,0
2020-08-06,ITAPETINGA,351,2,447,800,29,0.44,76147,1050.60,0
2020-08-06,BRUMADO,308,10,242,560,2,0.31,67195,833.40,0
2020-08-06,POCOES,39,0,503,542,5,0.30,46871,1156.37,0
2020-08-06,IGUAI,52,25,282,359,1,0.20,26916,1333.78,0
2020-08-06,BARRA DO CHOCA,100,0,180,280,2,0.15,31603,885.99,0
2020-08-06,CANDIDO SALES,15,1,239,255,6,0.14,25189,1012.35,0
2020-08-06,GUANAMBI,100,0,95,195,1,0.11,84481,230.82,0
2020-08-06,IBICUI,32,0,162,194,22,0.11,16198,1197.68,0
2020-08-06,ITORORO,65,0,121,186,12,0.10,20382,912.57,0
2020-08-06,URANDI,11,0,174,185,0,0.10,16658,1110.58,0
2020-08-06,PLANALTO,10,0,154,164,0,0.09,26265,624.41,0
2020-08-06,MACARANI,93,1,59,153,5,0.08,18755,815.78,0
2020-08-06,PRESIDENTE JANIO QUADROS,15,0,135,150,2,0.08,12338,1215.76,0
2020-08-06,ITARANTIM,18,0,109,127,0,0.07,19747,643.14,0
2020-08-06,CAATIBA,20,0,106,126,4,0.07,6758,1864.46,0
2020-08-06,NOVA CANAA,18,0,98,116,0,0.06,16462,704.65,5
2020-08-06,POTIRAGUA,9,0,104,113,10,0.06,7224,1564.23,0
2020-08-06,ENCRUZILHAD A,8,1,92,101,0,0.06,17006,593.91,1
2020-08-06,ITAMBE,39,0,45,84,0,0.05,23049,364.44,0
2020-08-06,CAETITE,23,0,60,83,0,0.05,50975,162.82,0
2020-08-06,ANAGE,9,1,59,69,0,0.04,22005,313.57,1
2020-08-06,BOM JESUS DA SERRA,2,0,61,63,4,0.03,9880,637.65,5
2020-08-06,TREMEDAL,8,0,53,61,1,0.03,16394,372.09,0
2020-08-06,PIRIPA,15,0,41,56,0,0.03,10707,523.02,0
2020-08-06,CARINHANHA,18,0,36,54,1,0.03,29018,186.09,0
2020-08-06,RIACHO DE SANTANA,10,0,41,51,0,0.03,35421,143.98,7
2020-08-06,MAIQUINIQUE,5,1,35,41,2,0.02,10112,405.46,0
