date,municipio,confirmados_laboratorial,confirmados_clinico_epidemiologico,confirmados_teste_rapido,total_confirmados,aguardando_validacao_dos_municipios,porcentagem,populacao,coef_incidencia_100k_hab,qtd_dias_ultimo_caso
2020-06-26,TABOCAS DO BREJO VELHO,0,0,5,5,0,0.01,12518,39.94,3
2020-06-26,SERRA DO RAMALHO,4,0,1,5,0,0.01,31472,15.89,1
2020-06-26,CORRENTINA,1,1,3,5,0,0.01,32137,15.56,18
2020-06-26,PARATINGA,2,0,0,2,0,0.00,32000,6.25,24
2020-06-26,BAIANOPOLIS,2,0,0,2,0,0.00,13877,14.41,8
2020-06-26,SANTA MARIA DA VITORIA,2,0,0,2,0,0.00,39845,5.02,43
2020-06-26,CORIBE,1,0,0,1,0,0.00,14194,7.05,0
2020-06-26,JABORANDI,0,0,1,1,0,0.00,8385,11.93,34
2020-06-26,ANGICAL,1,0,0,1,0,0.00,13977,7.15,18
2020-06-26,CATOLANDIA,1,0,0,1,0,0.00,3577,27.96,13
2020-06-26,WANDERLEY,0,0,1,1,0,0.00,12238,8.17,23
2020-06-26,TOTAL ,456,9,352,817,13,1
2020-06-26,VITORIA DA CONQUISTA,249,1,366,616,11,1.10,338480,181.99,0
2020-06-26,IGUAI,25,0,150,175,15,0.31,26916,650.17,0
2020-06-26,BRUMADO,97,11,46,154,1,0.28,67195,229.18,0
2020-06-26,URANDI,10,0,106,116,0,0.21,16658,696.36,9
2020-06-26,POCOES,18,1,92,111,1,0.20,46871,236.82,1
2020-06-26,GUANAMBI,11,0,62,73,0,0.13,84481,86.41,0
2020-06-26,CANDIDO SALES,9,11,51,71,2,0.13,25189,281.87,0
2020-06-26,ENCRUZILHAD A,5,0,49,54,0,0.10,17006,317.53,4
2020-06-26,ITAPETINGA,49,0,4,53,0,0.10,76147,69.60,0
2020-06-26,PIRIPA,21,4,18,43,0,0.08,10707,401.61,2
2020-06-26,CAATIBA,3,0,32,35,0,0.06,6758,517.90,2
2020-06-26,POTIRAGUA,5,0,22,27,5,0.05,7224,373.75,1
2020-06-26,IBICUI,4,1,20,25,2,0.04,16198,154.34,0
2020-06-26,CONDEUBA,13,0,11,24,0,0.04,17247,139.15,0
2020-06-26,RIACHO DE SANTANA,3,4,17,24,0,0.04,35421,67.76,3
2020-06-26,BARRA DO CHOCA,13,0,9,22,0,0.04,31603,69.61,1
2020-06-26,ITORORO,7,1,13,21,0,0.04,20382,103.03,2
2020-06-26,ITARANTIM,4,0,16,20,0,0.04,19747,101.28,5
2020-06-26,PLANALTO,4,0,16,20,0,0.04,26265,76.15,2
2020-06-26,CAETITE,5,0,13,18,0,0.03,50975,35.31,0
2020-06-26,PALMAS DE MONTE ALTO,1,0,16,17,0,0.03,21750,78.16,15
2020-06-26,LIVRAMENTO DE NOSSA SENHORA,9,0,6,15,0,0.03,45732,32.80,2
2020-06-26,ARACATU,6,0,6,12,0,0.02,13135,91.36,15
2020-06-26,PINDAI,0,0,12,12,0,0.02,16260,73.80,7
2020-06-26,BOQUIRA,6,0,4,10,0,0.02,21508,46.49,15
2020-06-26,CANDIBA,1,0,9,10,0,0.02,14319,69.84,2
2020-06-26,LICINIO DE ALMEIDA,2,0,7,9,0,0.02,12388,72.65,11
2020-06-26,NOVA CANAA ,2,0,6,8,0,0.01,16462,48.60,1
2020-06-26,MORTUGABA,1,7,0,8,0,0.01,12042,66.43,3
2020-06-26,MACARANI,3,0,5,8,0,0.01,18755,42.66,1
2020-06-26,MAIQUINIQUE,0,0,8,8,0,0.01,10112,79.11,2
2020-06-26,ANAGE,2,1,4,7,0,0.01,22005,31.81,1
2020-06-26,MIRANTE,5,0,2,7,0,0.01,8641,81.01,13
2020-06-26,IBIPITANGA,0,0,6,6,0,0.01,14902,40.26,1
2020-06-26,ITAMBE,6,0,0,6,0,0.01,23049,26.03,1
2020-06-26,RIO DO PIRES ,3,0,2,5,0,0.01,11655,42.90,1
2020-06-26,PARAMIRIM,3,1,1,5,0,0.01,21607,23.14,34
2020-06-26,RIO DO ANTONIO,1,0,3,4,0,0.01,15371,26.02,21
2020-06-26,DOM BASILIO ,2,0,2,4,0,0.01,12199,32.79,5
2020-06-26,MACAUBAS,2,0,2,4,0,0.01,49826,8.03,9
2020-06-26,CARAIBAS,1,0,2,3,0,0.01,8951,33.52,25
2020-06-26,CAETANOS,2,0,0,2,0,0.00,14542,13.75,42
2020-06-26,TREMEDAL,1,1,0,2,0,0.00,16394,12.20,14
2020-06-26,MALHADA DE PEDRAS,2,0,0,2,0,0.00,8393,23.83,1
2020-06-26,JUSSIAPE,1,0,1,2,0,0.00,6186,32.33,17
2020-06-26,MALHADA,1,0,1,2,0,0.00,16845,11.87,1
2020-06-26,GUAJERU,0,0,2,2,0,0.00,6937,28.83,18
2020-06-26,JACARACI,1,0,1,2,0,0.00,14842,13.48,19
2020-06-26,BARRA DA ESTIVA,0,0,2,2,0,0.00,20598,9.71,4
2020-06-26,CARINHANHA,0,0,1,1,0,0.00,29018,3.45,20
2020-06-26,CORDEIROS,0,0,1,1,0,0.00,8614,11.61,15
2020-06-26,ITUACU,1,0,0,1,0,0.00,18962,5.27,25
2020-06-26,FIRMINO ALVES,0,0,1,1,0,0.00,5617,17.80,23
2020-06-26,BOM JESUS DA SERRA,0,0,1,1,0,0.00,9880,10.12,26
2020-06-26,RIBEIRAO DO LARGO,1,0,0,1,0,0.00,5812,17.21,24
2020-06-26,MAETINGA,0,0,1,1,0,0.00,3161,31.64,21
2020-06-26,IBICOARA,0,0,1,1,0,0.00,19571,5.11,1
2020-06-26,CACULE,1,0,0,1,0,0.00,23170,4.32,1
2020-06-26,TOTAL ,622,44,1229,1895,37,3
2020-06-26,ITABUNA,1317,64,770,2151,67,3.86,213223,1008.80,0
2020-06-26,ILHEUS,970,31,137,1138,3,2.04,162327,701.05,0
2020-06-26,JEQUIE,341,4,483,828,13,1.48,155966,530.88,0
2020-06-26,IPIAU,231,160,216,607,0,1.09,45873,1323.22,1
2020-06-26,GANDU,184,1,240,425,0,0.76,32403,1311.61,0
2020-06-26,VALENCA,167,7,251,425,1,0.76,96562,440.13,0
2020-06-26,CAMACAN,40,19,206,265,6,0.48,31988,828.44,0
2020-06-26,ITAJUIPE,113,26,101,240,3,0.43,20491,1171.25,0
2020-06-26,URUCUCA,140,4,91,235,2,0.42,20519,1145.28,0
2020-06-26,IBICARAI,38,9,70,117,1,0.21,21689,539.44,0
