ibgeID,city,population,regex
2929255,São Gabriel,18793,^[^A-Z]*SAO[^A-Z]+GABRIEL[^A-Z]*$
2929255,São Gabriel,18793,^[^A-Z]*SÃO[^A-Z]+GABRIEL[^A-Z]*$
2905305,Cafarnaum,18437,^[^A-Z]*CAFARNAUM[^A-Z]*$
2931301,Tapiramutá,17010,^[^A-Z]*TAPIRAMUTA[^A-Z]*$
2931301,Tapiramutá,17010,^[^A-Z]*TAPIRAMUTÁ[^A-Z]*$
2903003,Barra do Mendes,13865,^[^A-Z]*BARRA[^A-Z]+DO[^A-Z]+MENDES[^A-Z]*$
2915353,Itaguaçu da Bahia,14429,^[^A-Z]*ITAGUACU[^A-Z]+DA[^A-Z]+BAHIA[^A-Z]*$
2915353,Itaguaçu da Bahia,14429,^[^A-Z]*ITAGUAÇU[^A-Z]+DA[^A-Z]+BAHIA[^A-Z]*$
2918506,Jussara,15284,^[^A-Z]*JUSSARA[^A-Z]*$
2931350,Teixeira de Freitas,160487,^[^A-Z]*TEIXEIRA[^A-Z]+DE[^A-Z]+FREITAS[^A-Z]*$
2910727,Eunápolis,113380,^[^A-Z]*EUNAPOLIS[^A-Z]*$
2910727,Eunápolis,113380,^[^A-Z]*EUNÁPOLIS[^A-Z]*$
2925303,Porto Seguro,148686,^[^A-Z]*PORTO[^A-Z]+SEGURO[^A-Z]*$
2915601,Itamaraju,64486,^[^A-Z]*ITAMARAJU[^A-Z]*$
2922003,Mucuri,41748,^[^A-Z]*MUCURI[^A-Z]*$
2923001,Nova Viçosa,43376,^[^A-Z]*NOVA[^A-Z]+VICOSA[^A-Z]*$
2923001,Nova Viçosa,43376,^[^A-Z]*NOVA[^A-Z]+VIÇOSA[^A-Z]*$
2925501,Prado,28174,^[^A-Z]*PRADO[^A-Z]*$
2927705,Santa Cruz Cabrália,27778,^[^A-Z]*SANTA[^A-Z]+CRUZ[^A-Z]+CABRALIA[^A-Z]*$
2927705,Santa Cruz Cabrália,27778,^[^A-Z]*SANTA[^A-Z]+CRUZ[^A-Z]+CABRÁLIA[^A-Z]*$
2916005,Itanhém,19405,^[^A-Z]*ITANHEM[^A-Z]*$
2916005,Itanhém,19405,^[^A-Z]*ITANHÉM[^A-Z]*$
2921104,Medeiros Neto,22688,^[^A-Z]*MEDEIROS[^A-Z]+NETO[^A-Z]*$
2903409,Belmonte,23328,^[^A-Z]*BELMONTE[^A-Z]*$
2914653,Itabela,30584,^[^A-Z]*ITABELA[^A-Z]*$
2916302,Itapebi,10259,^[^A-Z]*ITAPEBI[^A-Z]*$
2900801,Alcobaça,22470,^[^A-Z]*ALCOBACA[^A-Z]*$
2900801,Alcobaça,22470,^[^A-Z]*ALCOBAÇA[^A-Z]*$
2912806,Ibirapuã,8637,^[^A-Z]*IBIRAPUA[^A-Z]*$
2912806,Ibirapuã,8637,^[^A-Z]*IBIRAPUÃ[^A-Z]*$
2911808,Guaratinga,20843,^[^A-Z]*GUARATINGA[^A-Z]*$
2906907,Caravelas,22016,^[^A-Z]*CARAVELAS[^A-Z]*$
2933257,Vereda,6205,^[^A-Z]*VEREDA[^A-Z]*$
2918902,Lajedão,3955,^[^A-Z]*LAJEDAO[^A-Z]*$
2918902,Lajedão,3955,^[^A-Z]*LAJEDÃO[^A-Z]*$
2915304,Itagimirim,6869,^[^A-Z]*ITAGIMIRIM[^A-Z]*$
2918456,Jucuruçu,9126,^[^A-Z]*JUCURUCU[^A-Z]*$
2918456,Jucuruçu,9126,^[^A-Z]*JUCURUÇU[^A-Z]*$
2927408,Salvador,2872347,^[^A-Z]*SALVADOR[^A-Z]*$
2919207,Lauro de Freitas,198440,^[^A-Z]*LAURO[^A-Z]+DE[^A-Z]+FREITAS[^A-Z]*$
2905701,Camaçari,299132,^[^A-Z]*CAMACARI[^A-Z]*$
2905701,Camaçari,299132,^[^A-Z]*CAMAÇARI[^A-Z]*$
2930709,Simões Filho,134377,^[^A-Z]*SIMOES[^A-Z]+FILHO[^A-Z]*$
2930709,Simões Filho,134377,^[^A-Z]*SIMÕES[^A-Z]+FILHO[^A-Z]*$
2906501,Candeias,87076,^[^A-Z]*CANDEIAS[^A-Z]*$
2928703,Santo Antônio de Jesus,101512,^[^A-Z]*SANTO[^A-Z]+ANTONIO[^A-Z]+DE[^A-Z]+JESUS[^A-Z]*$
2928703,Santo Antônio de Jesus,101512,^[^A-Z]*SANTO[^A-Z]+ANTÔNIO[^A-Z]+DE[^A-Z]+JESUS[^A-Z]*$
2910057,Dias d'Ávila,81089,^[^A-Z]*DIAS[^A-Z]+D[^A-Z]*AVILA[^A-Z]*$
2910057,Dias d'Ávila,81089,^[^A-Z]*DIAS[^A-Z]+D[^A-Z]*ÁVILA[^A-Z]*$
2929206,São Francisco do Conde,39802,^[^A-Z]*SAO[^A-Z]+FRANCISCO[^A-Z]+DO[^A-Z]+CONDE[^A-Z]*$
2929206,São Francisco do Conde,39802,^[^A-Z]*SÃO[^A-Z]+FRANCISCO[^A-Z]+DO[^A-Z]+CONDE[^A-Z]*$
2919926,Madre de Deus,21093,^[^A-Z]*MADRE[^A-Z]+DE[^A-Z]+DEUS[^A-Z]*$
2925204,Pojuca,39519,^[^A-Z]*POJUCA[^A-Z]*$
