regex,municipio
^[^A-Z]*NOVA[^A-Z]+ITARANA[^A-Z]*$,Nova Itarana
^[^A-Z]*JIQUIRICA[^A-Z]*$,Jiquiriçá
^[^A-Z]*JIQUIRIÇÁ[^A-Z]*$,Jiquiriçá
^[^A-Z]*ELISIO[^A-Z]+MEDRADO[^A-Z]*$,Elísio Medrado
^[^A-Z]*ELÍSIO[^A-Z]+MEDRADO[^A-Z]*$,Elísio Medrado
^[^A-Z]*ARATUIPE[^A-Z]*$,Aratuípe
^[^A-Z]*ARATUÍPE[^A-Z]*$,Aratuípe
^[^A-Z]*ALAGOINHAS[^A-Z]*$,Alagoinhas
^[^A-Z]*CATU[^A-Z]*$,Catu
^[^A-Z]*RIBEIRA[^A-Z]+DO[^A-Z]+POMBAL[^A-Z]*$,Ribeira do Pombal
^[^A-Z]*ENTRE[^A-Z]+RIOS[^A-Z]*$,Entre Rios
^[^A-Z]*NOVA[^A-Z]+SOURE[^A-Z]*$,Nova Soure
^[^A-Z]*JANDAIRA[^A-Z]*$,Jandaíra
^[^A-Z]*JANDAÍRA[^A-Z]*$,Jandaíra
^[^A-Z]*ITAPICURU[^A-Z]*$,Itapicuru
^[^A-Z]*RIO[^A-Z]+REAL[^A-Z]*$,Rio Real
^[^A-Z]*ESPLANADA[^A-Z]*$,Esplanada
^[^A-Z]*APORA[^A-Z]*$,Aporá
^[^A-Z]*APORÁ[^A-Z]*$,Aporá
^[^A-Z]*CICERO[^A-Z]+DANTAS[^A-Z]*$,Cícero Dantas
^[^A-Z]*CÍCERO[^A-Z]+DANTAS[^A-Z]*$,Cícero Dantas
^[^A-Z]*SITIO[^A-Z]+DO[^A-Z]+QUINTO[^A-Z]*$,Sítio do Quinto
^[^A-Z]*SÍTIO[^A-Z]+DO[^A-Z]+QUINTO[^A-Z]*$,Sítio do Quinto
^[^A-Z]*ADUSTINA[^A-Z]*$,Adustina
^[^A-Z]*BANZAE[^A-Z]*$,Banzaê
^[^A-Z]*BANZAÊ[^A-Z]*$,Banzaê
^[^A-Z]*PARIPIRANGA[^A-Z]*$,Paripiranga
^[^A-Z]*ACAJUTIBA[^A-Z]*$,Acajutiba
^[^A-Z]*SATIRO[^A-Z]+DIAS[^A-Z]*$,Sátiro Dias
^[^A-Z]*SÁTIRO[^A-Z]+DIAS[^A-Z]*$,Sátiro Dias
^[^A-Z]*NOVO[^A-Z]+TRIUNFO[^A-Z]*$,Novo Triunfo
^[^A-Z]*NOVO[^A-Z]+HORIZONTE[^A-Z]*$,Novo Horizonte
^[^A-Z]*IBIQUERA[^A-Z]*$,Ibiquera
^[^A-Z]*SANTANA[^A-Z]*$,Santana
^[^A-Z]*SERRA[^A-Z]+DOURADA[^A-Z]*$,Serra Dourada
^[^A-Z]*TANHACU[^A-Z]*$,Tanhaçu
^[^A-Z]*TANHAÇU[^A-Z]*$,Tanhaçu
^[^A-Z]*SAUDE[^A-Z]*$,Saúde
^[^A-Z]*SAÚDE[^A-Z]*$,Saúde
^[^A-Z]*CENTRAL[^A-Z]*$,Central
^[^A-Z]*MATINA[^A-Z]*$,Matina
^[^A-Z]*BONITO[^A-Z]*$,Bonito
^[^A-Z]*TANQUE[^A-Z]+NOVO[^A-Z]*$,Tanque Novo
^[^A-Z]*GAVIÃO[^A-Z]*$,Gavião
^[^A-Z]*GAVIAO[^A-Z]*$,Gavião
^[^A-Z]*TANQUE[^A-Z]+NOVO[^A-Z]*$,Tanque Novo
^[^A-Z]*ERICO[^A-Z]+CARDOSO[^A-Z]*$,Érico Cardoso
^[^A-Z]*ÉRICO[^A-Z]+CARDOSO[^A-Z]*$,Érico Cardoso
^[^A-Z]*BELO[^A-Z]+CAMPO[^A-Z]*$,Belo Campo
^[^A-Z]*BARRO[^A-Z]+ALTO[^A-Z]*$,Barro Alto
^[^A-Z]*SEBASTIAO[^A-Z]+LARANJEIRAS[^A-Z]*$,Sebastião Laranjeiras
^[^A-Z]*SEBASTIÃO[^A-Z]+LARANJEIRAS[^A-Z]*$,Sebastião Laranjeiras
^[^A-Z]*CIPO[^A-Z]*$,Cipó
^[^A-Z]*CIPÓ[^A-Z]*$,Cipó
^[^A-Z]*OLINDINA[^A-Z]*$,Olindina
^[^A-Z]*RIBEIRA[^A-Z]+DO[^A-Z]+AMPARO[^A-Z]*$,Ribeira do Amparo
^[^A-Z]*INHAMBUPE[^A-Z]*$,Inhambupe
^[^A-Z]*FATIMA[^A-Z]*$,Fátima
^[^A-Z]*FÁTIMA[^A-Z]*$,Fátima
^[^A-Z]*CORONEL[^A-Z]+JOAO[^A-Z]+SA[^A-Z]*$,Coronel João Sá
^[^A-Z]*CORONEL[^A-Z]+JOÃO[^A-Z]+SÁ[^A-Z]*$,Coronel João Sá
^[^A-Z]*CRISOPOLIS[^A-Z]*$,Crisópolis
^[^A-Z]*CRISÓPOLIS[^A-Z]*$,Crisópolis
^[^A-Z]*OURICANGAS[^A-Z]*$,Ouriçangas
^[^A-Z]*OURIÇANGAS[^A-Z]*$,Ouriçangas
^[^A-Z]*ITANAGRA[^A-Z]*$,Itanagra
^[^A-Z]*HELIOPOLIS[^A-Z]*$,Heliópolis
^[^A-Z]*HELIÓPOLIS[^A-Z]*$,Heliópolis
^[^A-Z]*CARDEAL[^A-Z]+DA[^A-Z]+SILVA[^A-Z]*$,Cardeal da Silva
^[^A-Z]*ARAMARI[^A-Z]*$,Aramari
^[^A-Z]*ARACAS[^A-Z]*$,Araças
^[^A-Z]*ARAÇAS[^A-Z]*$,Araças
^[^A-Z]*ANTAS[^A-Z]*$,Antas
^[^A-Z]*PEDRAO[^A-Z]*$,Pedrão
